시군구별,연도,월,남자,여자,전체,성비
강원특별자치도,2011,02,523.0,496.0,1019.0,1.0544354838709677
강원특별자치도,2011,03,608.0,554.0,1162.0,1.0974729241877257
강원특별자치도,2011,04,546.0,522.0,1068.0,1.0459770114942528
강원특별자치도,2011,05,524.0,548.0,1072.0,0.9562043795620438
강원특별자치도,2011,06,483.0,487.0,970.0,0.9917864476386037
강원특별자치도,2011,07,600.0,529.0,1129.0,1.1342155009451795
강원특별자치도,2011,08,506.0,461.0,967.0,1.0976138828633406
강원특별자치도,2011,09,530.0,413.0,943.0,1.2832929782082325
강원특별자치도,2011,10,501.0,468.0,969.0,1.0705128205128205
강원특별자치도,2011,11,508.0,482.0,990.0,1.053941908713693
강원특별자치도,2011,12,496.0,433.0,929.0,1.1454965357967668
강원특별자치도,2012,01,549.0,513.0,1062.0,1.0701754385964912
강원특별자치도,2012,02,568.0,531.0,1099.0,1.0696798493408664
강원특별자치도,2012,03,575.0,543.0,1118.0,1.0589318600368325
강원특별자치도,2012,04,532.0,474.0,1006.0,1.1223628691983123
강원특별자치도,2012,05,464.0,499.0,963.0,0.9298597194388778
강원특별자치도,2012,06,532.0,515.0,1047.0,1.033009708737864
강원특별자치도,2012,07,550.0,490.0,1040.0,1.1224489795918366
강원특별자치도,2012,08,515.0,545.0,1060.0,0.944954128440367
강원특별자치도,2012,09,571.0,550.0,1121.0,1.038181818181818
강원특별자치도,2012,10,525.0,549.0,1074.0,0.9562841530054644
강원특별자치도,2012,11,496.0,466.0,962.0,1.0643776824034334
강원특별자치도,2012,12,452.0,422.0,874.0,1.0710900473933649
강원특별자치도,2013,01,568.0,534.0,1102.0,1.0636704119850187
강원특별자치도,2013,02,449.0,409.0,858.0,1.097799511002445
강원특별자치도,2013,03,522.0,469.0,991.0,1.1130063965884862
강원특별자치도,2013,04,464.0,464.0,928.0,1.0
강원특별자치도,2013,05,457.0,422.0,879.0,1.0829383886255923
강원특별자치도,2013,06,441.0,407.0,848.0,1.0835380835380835
강원특별자치도,2013,07,489.0,463.0,952.0,1.0561555075593954
강원특별자치도,2013,08,480.0,417.0,897.0,1.1510791366906474
강원특별자치도,2013,09,460.0,433.0,893.0,1.0623556581986142
강원특별자치도,2013,10,481.0,442.0,923.0,1.088235294117647
강원특별자치도,2013,11,425.0,444.0,869.0,0.9572072072072072
강원특별자치도,2013,12,434.0,406.0,840.0,1.0689655172413792
강원특별자치도,2014,01,501.0,500.0,1001.0,1.002
강원특별자치도,2014,02,456.0,426.0,882.0,1.0704225352112675
강원특별자치도,2014,03,492.0,459.0,951.0,1.0718954248366013
강원특별자치도,2014,04,471.0,405.0,876.0,1.162962962962963
강원특별자치도,2014,05,442.0,447.0,889.0,0.9888143176733781
강원특별자치도,2014,06,454.0,410.0,864.0,1.1073170731707318
강원특별자치도,2014,07,459.0,451.0,910.0,1.017738359201774
강원특별자치도,2014,08,461.0,425.0,886.0,1.0847058823529412
강원특별자치도,2014,09,430.0,445.0,875.0,0.9662921348314607
강원특별자치도,2014,10,444.0,471.0,915.0,0.9426751592356688
강원특별자치도,2014,11,414.0,392.0,806.0,1.0561224489795917
강원특별자치도,2014,12,420.0,387.0,807.0,1.0852713178294573
강원특별자치도,2015,01,518.0,526.0,1044.0,0.9847908745247148
강원특별자치도,2015,02,421.0,399.0,820.0,1.055137844611529
강원특별자치도,2015,03,549.0,509.0,1058.0,1.0785854616895874
강원특별자치도,2015,04,479.0,506.0,985.0,0.9466403162055336
강원특별자치도,2015,05,447.0,453.0,900.0,0.9867549668874173
강원특별자치도,2015,06,455.0,429.0,884.0,1.0606060606060606
강원특별자치도,2015,07,421.0,469.0,890.0,0.8976545842217484
강원특별자치도,2015,08,475.0,403.0,878.0,1.1786600496277915
강원특별자치도,2015,09,441.0,446.0,887.0,0.9887892376681614
강원특별자치도,2015,10,462.0,461.0,923.0,1.002169197396963
강원특별자치도,2015,11,420.0,399.0,819.0,1.0526315789473684
강원특별자치도,2015,12,427.0,414.0,841.0,1.0314009661835748
강원특별자치도,2016,01,465.0,428.0,893.0,1.0864485981308412
강원특별자치도,2016,02,439.0,444.0,883.0,0.9887387387387387
강원특별자치도,2016,03,493.0,474.0,967.0,1.040084388185654
강원특별자치도,2016,04,410.0,430.0,840.0,0.9534883720930233
강원특별자치도,2016,05,387.0,414.0,801.0,0.9347826086956522
강원특별자치도,2016,06,433.0,384.0,817.0,1.1276041666666667
강원특별자치도,2016,07,452.0,407.0,859.0,1.1105651105651106
강원특별자치도,2016,08,459.0,393.0,852.0,1.16793893129771
강원특별자치도,2016,09,429.0,414.0,843.0,1.036231884057971
강원특별자치도,2016,10,392.0,393.0,785.0,0.9974554707379135
강원특별자치도,2016,11,405.0,382.0,787.0,1.0602094240837696
